personality,variant,latency_s,status,file
Bonnie,00-reference,1.42,OK,reference-fiona.wav
Bonnie,01-kokoro,1.73,OK,01-kokoro-bf_emma.wav
Bonnie,02-csm1b,6.65,OK,02-csm1b-fiona-clone.wav
Bonnie,03-qwen3,5.98,OK,03-qwen3-fiona-clone.wav
Maeve,00-reference,1.16,OK,reference-moira.wav
Maeve,01-kokoro,1.79,OK,01-kokoro-bf_alice.wav
Maeve,02-csm1b,12.31,OK,02-csm1b-moira-clone.wav
Maeve,03-qwen3,5.68,OK,03-qwen3-moira-clone.wav
Sheila,00-reference,1.08,OK,reference-karen.wav
Sheila,01-kokoro,2.04,OK,01-kokoro-af_nova.wav
Sheila,02-csm1b,8.39,OK,02-csm1b-karen-clone.wav
Sheila,03-qwen3,6.02,OK,03-qwen3-karen-clone.wav
Tash,00-reference,1.10,OK,reference-karen.wav
Tash,01-kokoro,0.94,OK,01-kokoro-af_heart.wav
Tash,02-csm1b,5.29,OK,02-csm1b-karen-clone.wav
Tash,03-qwen3,6.50,OK,03-qwen3-karen-clone.wav
Vikram,00-reference,1.07,OK,reference-rishi.wav
Vikram,01-kokoro,1.00,OK,01-kokoro-bm_george.wav
Vikram,02-csm1b,7.63,OK,02-csm1b-rishi-clone.wav
Vikram,03-qwen3,4.89,OK,03-qwen3-rishi-clone.wav
